 ,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,5.770,5.192,1.809,5.192,1.809,8.972,3.844,0.450,2.694,2.713,0.901,1.020,0.980,0.996
2,1.960,11.263,3.373,11.263,3.373,5.275,10.494,2.569,1.562,1.606,0.885,1.044,0.958,0.990
3,4.703,1.891,4.110,1.891,4.110,8.096,0.663,2.894,2.456,2.438,0.902,1.017,0.983,0.995
4,2.341,14.441,5.863,14.441,5.863,5.696,13.569,4.988,1.738,1.731,0.907,1.059,0.944,0.993
5,2.595,4.640,6.093,4.640,6.093,6.060,3.719,5.188,1.844,1.788,0.888,1.042,0.959,0.993
6,5.677,7.992,6.892,7.992,6.892,8.906,6.644,5.550,2.694,2.681,0.899,1.003,0.997,0.995
7,3.207,13.084,9.154,13.084,9.154,6.684,12.075,8.144,2.019,2.019,0.902,1.002,0.998,0.994
8,5.044,4.179,9.735,4.179,9.735,8.381,2.913,8.469,2.531,2.525,0.903,1.007,0.993,0.995
9,2.159,8.592,9.547,8.592,9.547,5.485,7.769,8.719,1.650,1.656,0.902,1.008,0.992,0.993
10,4.208,14.828,11.837,14.828,11.837,7.659,13.669,10.681,2.319,2.306,0.901,1.011,0.989,0.995
11,7.369,7.996,13.178,7.996,13.178,10.141,6.469,11.644,3.056,3.069,0.900,1.006,0.994,0.996
