 ,Area,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,0.696,255,255,5.043,1.395,5.043,1.395,3.222,4.568,0.816,0.891,1.075,0.842,1.228,0.814,0.989
2,2.183,255,255,9.787,1.756,9.787,1.756,5.829,8.727,1.067,2.042,1.456,0.807,1.528,0.654,0.980
3,1.082,255,255,7.623,2.433,7.623,2.433,4.209,6.869,1.803,1.381,1.100,0.768,1.432,0.698,0.985
4,0.758,255,255,1.710,2.877,1.710,2.877,3.444,1.188,2.422,0.991,0.987,0.803,1.230,0.813,0.974
5,1.283,255,255,4.146,3.644,4.146,3.644,4.410,3.326,3.121,1.535,1.125,0.829,1.383,0.723,0.988
6,0.613,255,255,9.419,4.908,9.419,4.908,3.012,8.919,4.464,0.966,0.862,0.850,1.210,0.826,0.988
7,1.302,255,255,6.358,5.188,6.358,5.188,4.420,5.773,4.527,1.217,1.259,0.838,1.096,0.912,0.984
8,1.115,255,255,2.328,6.074,2.328,6.074,3.974,1.699,5.472,1.222,1.188,0.887,1.139,0.878,0.993
9,0.814,255,255,9.697,6.574,9.697,6.574,3.488,9.166,6.020,1.063,1.100,0.841,1.134,0.882,0.974
10,1.236,255,255,3.482,7.675,3.482,7.675,4.431,2.903,6.949,1.155,1.502,0.791,1.607,0.622,0.987
11,1.189,255,255,5.937,7.555,5.937,7.555,4.231,5.330,6.974,1.272,1.268,0.835,1.235,0.810,0.987
12,1.237,255,255,8.813,8.449,8.813,8.449,4.263,8.095,7.802,1.372,1.226,0.856,1.234,0.810,0.982
